,Unnamed: 0,year,month,date,region,admin2_name,precipitation,Season,season
161,161,2005,3,2005-03-01T00:00:00,east,Nyagatare,152.76250908022223,Long Rain,Long Rains
162,162,2005,4,2005-04-01T00:00:00,east,Nyagatare,113.27020289727405,Long Rain,Long Rains
163,163,2005,5,2005-05-01T00:00:00,east,Nyagatare,92.5887261563386,Long Rain,Long Rains
164,164,2005,2,2005-02-01T00:00:00,east,Rwamagana,64.54632123678616,Long Rain,Long Rains
165,165,2005,3,2005-03-01T00:00:00,east,Rwamagana,150.1614544406688,Long Rain,Long Rains
166,166,2005,4,2005-04-01T00:00:00,east,Rwamagana,117.59597188768105,Long Rain,Long Rains
167,167,2005,5,2005-05-01T00:00:00,east,Rwamagana,96.75572877456824,Long Rain,Long Rains
168,168,2006,2,2006-02-01T00:00:00,east,Bugesera,84.25563315923041,Long Rain,Long Rains
169,169,2006,3,2006-03-01T00:00:00,east,Bugesera,136.38871800779526,Long Rain,Long Rains
170,170,2006,4,2006-04-01T00:00:00,east,Bugesera,207.0801665941513,Long Rain,Long Rains
171,171,2006,5,2006-05-01T00:00:00,east,Bugesera,100.89203738006192,Long Rain,Long Rains
172,172,2006,2,2006-02-01T00:00:00,east,Gatsibo,89.75334562454158,Long Rain,Long Rains
173,173,2006,3,2006-03-01T00:00:00,east,Gatsibo,127.42389188881208,Long Rain,Long Rains
174,174,2006,4,2006-04-01T00:00:00,east,Gatsibo,198.2614968228133,Long Rain,Long Rains
175,175,2006,5,2006-05-01T00:00:00,east,Gatsibo,117.7124449325574,Long Rain,Long Rains
176,176,2006,2,2006-02-01T00:00:00,east,Kayonza,79.44096021580755,Long Rain,Long Rains
177,177,2006,3,2006-03-01T00:00:00,east,Kayonza,128.98248767569794,Long Rain,Long Rains
178,178,2006,4,2006-04-01T00:00:00,east,Kayonza,187.1770008491305,Long Rain,Long Rains
179,179,2006,5,2006-05-01T00:00:00,east,Kayonza,104.0672715474187,Long Rain,Long Rains
180,180,2006,2,2006-02-01T00:00:00,east,Kirehe,72.39247133478709,Long Rain,Long Rains
181,181,2006,3,2006-03-01T00:00:00,east,Kirehe,130.85345819944217,Long Rain,Long Rains
182,182,2006,4,2006-04-01T00:00:00,east,Kirehe,191.30395054695532,Long Rain,Long Rains
183,183,2006,5,2006-05-01T00:00:00,east,Kirehe,97.36149934444896,Long Rain,Long Rains
184,184,2006,2,2006-02-01T00:00:00,east,Ngoma,76.9590797716956,Long Rain,Long Rains
185,185,2006,3,2006-03-01T00:00:00,east,Ngoma,141.43648490640402,Long Rain,Long Rains
186,186,2006,4,2006-04-01T00:00:00,east,Ngoma,212.5569312604845,Long Rain,Long Rains
187,187,2006,5,2006-05-01T00:00:00,east,Ngoma,111.95365799049806,Long Rain,Long Rains
188,188,2006,2,2006-02-01T00:00:00,east,Nyagatare,77.05491951649711,Long Rain,Long Rains
189,189,2006,3,2006-03-01T00:00:00,east,Nyagatare,113.86316660732734,Long Rain,Long Rains
190,190,2006,4,2006-04-01T00:00:00,east,Nyagatare,157.73502572157443,Long Rain,Long Rains
191,191,2006,5,2006-05-01T00:00:00,east,Nyagatare,119.8663526278714,Long Rain,Long Rains
192,192,2006,2,2006-02-01T00:00:00,east,Rwamagana,83.33677271224053,Long Rain,Long Rains
193,193,2006,3,2006-03-01T00:00:00,east,Rwamagana,140.9626439013246,Long Rain,Long Rains
194,194,2006,4,2006-04-01T00:00:00,east,Rwamagana,239.015701544408,Long Rain,Long Rains
195,195,2006,5,2006-05-01T00:00:00,east,Rwamagana,114.28789141308836,Long Rain,Long Rains
196,196,2007,2,2007-02-01T00:00:00,east,Bugesera,97.30318379209116,Long Rain,Long Rains
197,197,2007,3,2007-03-01T00:00:00,east,Bugesera,99.7613789341552,Long Rain,Long Rains
198,198,2007,4,2007-04-01T00:00:00,east,Bugesera,155.1330361296271,Long Rain,Long Rains
199,199,2007,5,2007-05-01T00:00:00,east,Bugesera,179.81565662723932,Long Rain,Long Rains
200,200,2007,2,2007-02-01T00:00:00,east,Gatsibo,111.16496058236471,Long Rain,Long Rains
201,201,2007,3,2007-03-01T00:00:00,east,Gatsibo,116.3553465855234,Long Rain,Long Rains
202,202,2007,4,2007-04-01T00:00:00,east,Gatsibo,142.65898765320722,Long Rain,Long Rains
203,203,2007,5,2007-05-01T00:00:00,east,Gatsibo,167.0503876565295,Long Rain,Long Rains
204,204,2007,2,2007-02-01T00:00:00,east,Kayonza,99.80854947136628,Long Rain,Long Rains
205,205,2007,3,2007-03-01T00:00:00,east,Kayonza,120.35951188850142,Long Rain,Long Rains
206,206,2007,4,2007-04-01T00:00:00,east,Kayonza,132.34119984847356,Long Rain,Long Rains
207,207,2007,5,2007-05-01T00:00:00,east,Kayonza,180.95913065472087,Long Rain,Long Rains
208,208,2007,2,2007-02-01T00:00:00,east,Kirehe,91.5961213513755,Long Rain,Long Rains
209,209,2007,3,2007-03-01T00:00:00,east,Kirehe,107.61405823468178,Long Rain,Long Rains
210,210,2007,4,2007-04-01T00:00:00,east,Kirehe,155.3902988582972,Long Rain,Long Rains
211,211,2007,5,2007-05-01T00:00:00,east,Kirehe,126.80473583425518,Long Rain,Long Rains
212,212,2007,2,2007-02-01T00:00:00,east,Ngoma,92.91986296359606,Long Rain,Long Rains
213,213,2007,3,2007-03-01T00:00:00,east,Ngoma,111.44453813089976,Long Rain,Long Rains
214,214,2007,4,2007-04-01T00:00:00,east,Ngoma,147.66816248118533,Long Rain,Long Rains
215,215,2007,5,2007-05-01T00:00:00,east,Ngoma,138.85485076984537,Long Rain,Long Rains
216,216,2007,2,2007-02-01T00:00:00,east,Nyagatare,93.35105791440228,Long Rain,Long Rains
217,217,2007,3,2007-03-01T00:00:00,east,Nyagatare,102.2999608968286,Long Rain,Long Rains
218,218,2007,4,2007-04-01T00:00:00,east,Nyagatare,118.22877314684796,Long Rain,Long Rains
219,219,2007,5,2007-05-01T00:00:00,east,Nyagatare,139.79261768716793,Long Rain,Long Rains
220,220,2007,2,2007-02-01T00:00:00,east,Rwamagana,97.05504066114725,Long Rain,Long Rains
221,221,2007,3,2007-03-01T00:00:00,east,Rwamagana,115.11198972889257,Long Rain,Long Rains
222,222,2007,4,2007-04-01T00:00:00,east,Rwamagana,138.93843947978849,Long Rain,Long Rains
223,223,2007,5,2007-05-01T00:00:00,east,Rwamagana,233.4426614044045,Long Rain,Long Rains
224,224,2008,2,2008-02-01T00:00:00,east,Bugesera,71.07574301913431,Long Rain,Long Rains
225,225,2008,3,2008-03-01T00:00:00,east,Bugesera,113.06214222556213,Long Rain,Long Rains
226,226,2008,4,2008-04-01T00:00:00,east,Bugesera,108.66976393440932,Long Rain,Long Rains
227,227,2008,5,2008-05-01T00:00:00,east,Bugesera,47.40241161529377,Long Rain,Long Rains
228,228,2008,2,2008-02-01T00:00:00,east,Gatsibo,65.57637040987913,Long Rain,Long Rains
229,229,2008,3,2008-03-01T00:00:00,east,Gatsibo,160.65611294281769,Long Rain,Long Rains
230,230,2008,4,2008-04-01T00:00:00,east,Gatsibo,92.23106677149872,Long Rain,Long Rains
231,231,2008,5,2008-05-01T00:00:00,east,Gatsibo,61.56424839642942,Long Rain,Long Rains
232,232,2008,2,2008-02-01T00:00:00,east,Kayonza,65.66491502707487,Long Rain,Long Rains
233,233,2008,3,2008-03-01T00:00:00,east,Kayonza,160.31592090972944,Long Rain,Long Rains
234,234,2008,4,2008-04-01T00:00:00,east,Kayonza,80.7843796338125,Long Rain,Long Rains
235,235,2008,5,2008-05-01T00:00:00,east,Kayonza,58.67650702686393,Long Rain,Long Rains
236,236,2008,2,2008-02-01T00:00:00,east,Kirehe,77.59615885304815,Long Rain,Long Rains
237,237,2008,3,2008-03-01T00:00:00,east,Kirehe,148.49811859962875,Long Rain,Long Rains
238,238,2008,4,2008-04-01T00:00:00,east,Kirehe,87.9928505886533,Long Rain,Long Rains
239,239,2008,5,2008-05-01T00:00:00,east,Kirehe,41.63938899608307,Long Rain,Long Rains
240,240,2008,2,2008-02-01T00:00:00,east,Ngoma,72.52643398359594,Long Rain,Long Rains
241,241,2008,3,2008-03-01T00:00:00,east,Ngoma,135.99881371389287,Long Rain,Long Rains
242,242,2008,4,2008-04-01T00:00:00,east,Ngoma,108.45611640535776,Long Rain,Long Rains
243,243,2008,5,2008-05-01T00:00:00,east,Ngoma,58.8573989808646,Long Rain,Long Rains
244,244,2008,2,2008-02-01T00:00:00,east,Nyagatare,52.75643306417481,Long Rain,Long Rains
245,245,2008,3,2008-03-01T00:00:00,east,Nyagatare,152.03517208859094,Long Rain,Long Rains
246,246,2008,4,2008-04-01T00:00:00,east,Nyagatare,72.84569186579331,Long Rain,Long Rains
247,247,2008,5,2008-05-01T00:00:00,east,Nyagatare,61.72858895111639,Long Rain,Long Rains
248,248,2008,2,2008-02-01T00:00:00,east,Rwamagana,65.21524829849447,Long Rain,Long Rains
249,249,2008,3,2008-03-01T00:00:00,east,Rwamagana,137.957320395485,Long Rain,Long Rains
250,250,2008,4,2008-04-01T00:00:00,east,Rwamagana,103.76912534086355,Long Rain,Long Rains
251,251,2008,5,2008-05-01T00:00:00,east,Rwamagana,68.43411765830116,Long Rain,Long Rains
252,252,2009,2,2009-02-01T00:00:00,east,Bugesera,139.75951616306716,Long Rain,Long Rains
253,253,2009,3,2009-03-01T00:00:00,east,Bugesera,121.32115862633847,Long Rain,Long Rains
254,254,2009,4,2009-04-01T00:00:00,east,Bugesera,143.23575797201872,Long Rain,Long Rains
255,255,2009,5,2009-05-01T00:00:00,east,Bugesera,120.55483870870724,Long Rain,Long Rains
256,256,2009,2,2009-02-01T00:00:00,east,Gatsibo,143.56881156901466,Long Rain,Long Rains
257,257,2009,3,2009-03-01T00:00:00,east,Gatsibo,100.8639701871651,Long Rain,Long Rains
258,258,2009,4,2009-04-01T00:00:00,east,Gatsibo,143.9901276047756,Long Rain,Long Rains
259,259,2009,5,2009-05-01T00:00:00,east,Gatsibo,132.34093320781545,Long Rain,Long Rains
260,260,2009,2,2009-02-01T00:00:00,east,Kayonza,133.0871671034058,Long Rain,Long Rains
261,261,2009,3,2009-03-01T00:00:00,east,Kayonza,108.96532844769273,Long Rain,Long Rains
262,262,2009,4,2009-04-01T00:00:00,east,Kayonza,168.6450736692348,Long Rain,Long Rains
263,263,2009,5,2009-05-01T00:00:00,east,Kayonza,123.58940218859908,Long Rain,Long Rains
264,264,2009,2,2009-02-01T00:00:00,east,Kirehe,129.9805256222305,Long Rain,Long Rains
265,265,2009,3,2009-03-01T00:00:00,east,Kirehe,131.12564722151427,Long Rain,Long Rains
266,266,2009,4,2009-04-01T00:00:00,east,Kirehe,190.51536015498783,Long Rain,Long Rains
267,267,2009,5,2009-05-01T00:00:00,east,Kirehe,117.78999595110314,Long Rain,Long Rains
268,268,2009,2,2009-02-01T00:00:00,east,Ngoma,142.81740338995195,Long Rain,Long Rains
269,269,2009,3,2009-03-01T00:00:00,east,Ngoma,124.963854039784,Long Rain,Long Rains
270,270,2009,4,2009-04-01T00:00:00,east,Ngoma,169.0161671859439,Long Rain,Long Rains
271,271,2009,5,2009-05-01T00:00:00,east,Ngoma,126.92109007700566,Long Rain,Long Rains
272,272,2009,2,2009-02-01T00:00:00,east,Nyagatare,127.01077484012886,Long Rain,Long Rains
273,273,2009,3,2009-03-01T00:00:00,east,Nyagatare,93.2954646184566,Long Rain,Long Rains
274,274,2009,4,2009-04-01T00:00:00,east,Nyagatare,112.6264998981381,Long Rain,Long Rains
