,year,month,date,region,admin2_name,precipitation,season
122,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Kericho,173.9445422823655,Long Rains
123,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Kericho,168.5946578241721,Long Rains
124,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Koibatek,111.74528216909697,Long Rains
125,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Koibatek,182.03446873632498,Long Rains
126,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Koibatek,89.37548459744268,Long Rains
127,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Koibatek,123.27903675852696,Long Rains
128,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Laikipia,109.21732868911704,Long Rains
129,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Laikipia,134.6347817474314,Long Rains
130,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Laikipia,43.80719813714181,Long Rains
131,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Laikipia,61.24914041782372,Long Rains
132,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Marakwet,131.5360834038974,Long Rains
133,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Marakwet,156.57268329934828,Long Rains
134,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Marakwet,131.86450457681678,Long Rains
135,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Marakwet,151.04931953518337,Long Rains
136,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Nakuru,112.8299330207431,Long Rains
137,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Nakuru,162.62583517413537,Long Rains
138,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Nakuru,79.29119319435057,Long Rains
139,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Nakuru,100.42903544713509,Long Rains
140,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Samburu,82.64484211631756,Long Rains
141,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Samburu,119.51865330648647,Long Rains
142,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Samburu,19.071903322525355,Long Rains
143,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Samburu,22.195573177353502,Long Rains
144,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Trans Nzoia,129.45179165591455,Long Rains
145,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Trans Nzoia,136.01545149465971,Long Rains
146,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Trans Nzoia,167.87126141888325,Long Rains
147,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Trans Nzoia,174.37036426304462,Long Rains
148,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Turkana,49.06188345574342,Long Rains
149,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Turkana,46.99946322060144,Long Rains
150,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Turkana,11.262576992195818,Long Rains
