,year,month,date,region,admin2_name,precipitation
491,2016,12,2016-12-01T00:00:00,Zambia,Kabwe,201.750043098662
492,2017,1,2017-01-01T00:00:00,Zambia,Kabwe,328.9431930729399
493,2017,2,2017-02-01T00:00:00,Zambia,Kabwe,325.60530130340135
494,2017,3,2017-03-01T00:00:00,Zambia,Kabwe,120.03503546230804
502,2017,11,2017-11-01T00:00:00,Zambia,Kabwe,160.1484670965623
503,2017,12,2017-12-01T00:00:00,Zambia,Kabwe,219.82400658493052
504,2018,1,2018-01-01T00:00:00,Zambia,Kabwe,73.91948934384394
505,2018,2,2018-02-01T00:00:00,Zambia,Kabwe,298.3168026752436
506,2018,3,2018-03-01T00:00:00,Zambia,Kabwe,192.69737255272534
514,2018,11,2018-11-01T00:00:00,Zambia,Kabwe,48.10559223374285
515,2018,12,2018-12-01T00:00:00,Zambia,Kabwe,141.78599877638723
516,2019,1,2019-01-01T00:00:00,Zambia,Kabwe,191.28734954258155
517,2019,2,2019-02-01T00:00:00,Zambia,Kabwe,140.7396001251438
518,2019,3,2019-03-01T00:00:00,Zambia,Kabwe,54.45488753121202
526,2019,11,2019-11-01T00:00:00,Zambia,Kabwe,89.58376626191466
527,2019,12,2019-12-01T00:00:00,Zambia,Kabwe,65.37766449678115
528,2020,1,2020-01-01T00:00:00,Zambia,Kabwe,257.45180662787345
529,2020,2,2020-02-01T00:00:00,Zambia,Kabwe,236.81598225956483
530,2020,3,2020-03-01T00:00:00,Zambia,Kabwe,59.51322880101682
538,2020,11,2020-11-01T00:00:00,Zambia,Kabwe,74.71032602438788
539,2020,12,2020-12-01T00:00:00,Zambia,Kabwe,355.0225750181622
540,2021,1,2021-01-01T00:00:00,Zambia,Kabwe,305.4920197966299
541,2021,2,2021-02-01T00:00:00,Zambia,Kabwe,279.0522018345293
542,2021,3,2021-03-01T00:00:00,Zambia,Kabwe,172.29250466070343
550,2021,11,2021-11-01T00:00:00,Zambia,Kabwe,85.79134609958378
551,2021,12,2021-12-01T00:00:00,Zambia,Kabwe,113.79705094299014
552,2022,1,2022-01-01T00:00:00,Zambia,Kabwe,397.513823928409
553,2022,2,2022-02-01T00:00:00,Zambia,Kabwe,96.49833481730285
554,2022,3,2022-03-01T00:00:00,Zambia,Kabwe,99.94306100086541
562,2022,11,2022-11-01T00:00:00,Zambia,Kabwe,113.49022161094247
563,2022,12,2022-12-01T00:00:00,Zambia,Kabwe,134.35990914898798
564,2023,1,2023-01-01T00:00:00,Zambia,Kabwe,374.7637253404294
565,2023,2,2023-02-01T00:00:00,Zambia,Kabwe,175.10424205781314
566,2023,3,2023-03-01T00:00:00,Zambia,Kabwe,104.34576238604149
574,2023,11,2023-11-01T00:00:00,Zambia,Kabwe,52.724920808543466
575,2023,12,2023-12-01T00:00:00,Zambia,Kabwe,293.5446070025836
576,2000,1,2000-01-01T00:00:00,Zambia,Kapiri-Mposhi,238.49359644738533
577,2000,2,2000-02-01T00:00:00,Zambia,Kapiri-Mposhi,248.7267964679406
578,2000,3,2000-03-01T00:00:00,Zambia,Kapiri-Mposhi,233.5741799429843
586,2000,11,2000-11-01T00:00:00,Zambia,Kapiri-Mposhi,142.32273593814546
587,2000,12,2000-12-01T00:00:00,Zambia,Kapiri-Mposhi,271.06426075844087
588,2001,1,2001-01-01T00:00:00,Zambia,Kapiri-Mposhi,287.02152970472724
589,2001,2,2001-02-01T00:00:00,Zambia,Kapiri-Mposhi,330.3264308078741
590,2001,3,2001-03-01T00:00:00,Zambia,Kapiri-Mposhi,243.15245048929867
598,2001,11,2001-11-01T00:00:00,Zambia,Kapiri-Mposhi,142.33841981710984
599,2001,12,2001-12-01T00:00:00,Zambia,Kapiri-Mposhi,210.29018921159968
600,2002,1,2002-01-01T00:00:00,Zambia,Kapiri-Mposhi,161.36050981395005
601,2002,2,2002-02-01T00:00:00,Zambia,Kapiri-Mposhi,94.3657546403262
602,2002,3,2002-03-01T00:00:00,Zambia,Kapiri-Mposhi,51.806520329551034
610,2002,11,2002-11-01T00:00:00,Zambia,Kapiri-Mposhi,112.12502733258991
611,2002,12,2002-12-01T00:00:00,Zambia,Kapiri-Mposhi,289.61427357979585
612,2003,1,2003-01-01T00:00:00,Zambia,Kapiri-Mposhi,175.8288636769205
613,2003,2,2003-02-01T00:00:00,Zambia,Kapiri-Mposhi,260.9396202828811
614,2003,3,2003-03-01T00:00:00,Zambia,Kapiri-Mposhi,213.14124913770897
622,2003,11,2003-11-01T00:00:00,Zambia,Kapiri-Mposhi,105.29469231663242
623,2003,12,2003-12-01T00:00:00,Zambia,Kapiri-Mposhi,193.05581527371666
624,2004,1,2004-01-01T00:00:00,Zambia,Kapiri-Mposhi,234.53247733963286
625,2004,2,2004-02-01T00:00:00,Zambia,Kapiri-Mposhi,238.1767896393735
626,2004,3,2004-03-01T00:00:00,Zambia,Kapiri-Mposhi,147.16476103288807
634,2004,11,2004-11-01T00:00:00,Zambia,Kapiri-Mposhi,96.81255854131456
635,2004,12,2004-12-01T00:00:00,Zambia,Kapiri-Mposhi,275.01821628907834
636,2005,1,2005-01-01T00:00:00,Zambia,Kapiri-Mposhi,185.7460133057847
637,2005,2,2005-02-01T00:00:00,Zambia,Kapiri-Mposhi,90.37076605606116
638,2005,3,2005-03-01T00:00:00,Zambia,Kapiri-Mposhi,79.43275749590158
646,2005,11,2005-11-01T00:00:00,Zambia,Kapiri-Mposhi,113.65704951271147
647,2005,12,2005-12-01T00:00:00,Zambia,Kapiri-Mposhi,311.1931289582015
